Salinity,Generation,Chemical,Gene,ddCT
10,0,Control,dnmt3,-0.242333333
10,0,Control,esr,-0.876555556
10,0,Control,igf2,0.029666667
10,0,Control,rps6,0.048666667
10,0,Control,17bHSD,0.067722222
10,0,Control,arx,-0.511277778
10,0,Control,atp1,-1.203166667
10,0,Control,atp2,-0.817277778
10,0,Control,cyp1a1,-2.198722222
10,0,Control,dnmt3,-0.574833333
10,0,Control,esr,2.120944444
10,0,Control,igf2,-0.517833333
10,0,Control,rps6,-0.627833333
10,0,Control,17bHSD,0.190722222
10,0,Control,arx,-1.081277778
10,0,Control,atp1,-0.494166667
10,0,Control,atp2,-0.527277778
10,0,Control,cyp1a1,-1.492722222
10,0,Control,dnmt3,-0.185833333
10,0,Control,esr,2.564944444
10,0,Control,igf2,-0.144833333
10,0,Control,rps6,-0.261833333
10,0,Control,17bHSD,0.680222222
10,0,Control,arx,-0.135777778
10,0,Control,atp1,-0.444666667
10,0,Control,atp2,-0.014777778
10,0,Control,cyp1a1,-0.861222222
10,0,Control,dnmt3,0.117666667
10,0,Control,esr,2.749444444
10,0,Control,igf2,0.311666667
10,0,Control,rps6,0.182666667
10,0,Bifenthrin,17bHSD,0.216722222
10,0,Bifenthrin,arx,2.389722222
10,0,Bifenthrin,atp1,3.442833333
10,0,Bifenthrin,atp2,2.478722222
10,0,Bifenthrin,cyp1a1,-2.726722222
10,0,Bifenthrin,dnmt3,-0.240833333
10,0,Bifenthrin,esr,-1.270055556
10,0,Bifenthrin,igf2,-0.430833333
10,0,Bifenthrin,rps6,-1.378833333
10,0,Bifenthrin,17bHSD,-0.060277778
10,0,Bifenthrin,arx,2.503722222
10,0,Bifenthrin,atp1,3.641833333
10,0,Bifenthrin,atp2,2.594722222
10,0,Bifenthrin,cyp1a1,-3.242722222
10,0,Bifenthrin,dnmt3,-0.708833333
10,0,Bifenthrin,esr,-2.314055556
10,0,Bifenthrin,igf2,-0.669833333
10,0,Bifenthrin,rps6,-0.773833333
10,0,Bifenthrin,17bHSD,0.955722222
10,0,Bifenthrin,arx,2.397722222
10,0,Bifenthrin,atp1,3.970833333
10,0,Bifenthrin,atp2,2.900722222
10,0,Bifenthrin,cyp1a1,-3.484722222
10,0,Bifenthrin,dnmt3,0.259166667
10,0,Bifenthrin,esr,-1.932055556
10,0,Bifenthrin,igf2,0.207166667
10,0,Bifenthrin,rps6,-0.614833333
10,0,Bifenthrin,17bHSD,1.346222222
10,0,Bifenthrin,arx,-0.216777778
10,0,Bifenthrin,atp1,-0.183666667
10,0,Bifenthrin,atp2,0.434222222
10,0,Bifenthrin,cyp1a1,2.381777778
10,0,Bifenthrin,dnmt3,-0.260333333
10,0,Bifenthrin,esr,-2.063555556
10,0,Bifenthrin,igf2,0.287666667
10,0,Bifenthrin,rps6,0.421666667
10,0,Bifenthrin,17bHSD,1.929222222
10,0,Bifenthrin,arx,0.372222222
10,0,Bifenthrin,atp1,
10,0,Bifenthrin,atp2,1.871222222
10,0,Bifenthrin,cyp1a1,3.221777778
10,0,Bifenthrin,dnmt3,-0.590333333
