Chemical,Salinity,Replicate,Pseudoreplicate,Generation,Absorbance 650,Plate,Protein,Absorbance 412,Plate,Cysteine,Cysteine_extinction,nM/min/mg protein,,
Cyhalothrin,6 PSU,B,1,F1,0.243,2,0.108596218,0.168,2,0.102974099,1.18728E-05,0.109329696,,
Control,6 PSU,B,2,F1,0.513,2,0.155059257,0.192,1,0.104937424,1.35689E-05,0.087507865,,
Bifenthrin,6 PSU,B,2,F1,0.564,2,0.165850047,0.217,1,0.107157581,1.53357E-05,0.092467197,,
Cyfluthrin,6 PSU,B,2,F1,0.561,2,0.165195001,0.248,2,0.110257464,1.75265E-05,0.106095836,,
Cyhalothrin,6 PSU,B,2,F1,0.255,2,0.110328954,0.142,2,0.100712181,1.00353E-05,0.090958315,,
Control,6 PSU,B,3,F1,0.5,2,0.152422823,0.199,1,0.10555439,1.40636E-05,0.09226705,,
Bifenthrin,6 PSU,B,3,F1,0.563,2,0.16563141,0.243,1,0.109516385,1.71731E-05,0.103682899,,
Cyfluthrin,6 PSU,B,3,F1,0.562,2,0.165413062,0.222,2,0.10783556,1.5689E-05,0.094847685,,
Cyhalothrin,6 PSU,B,3,F1,0.24,2,0.108167303,0.154,2,0.101749902,1.08834E-05,0.100616286,,
Control,6 PSU,C,1,F1,0.646,2,0.184796355,0.255,2,0.110918759,1.80212E-05,0.097519247,,
Bifenthrin,6 PSU,C,1,F1,1.073,2,0.324579958,0.31,2,0.116254561,2.19081E-05,0.067496858,,
Cyfluthrin,6 PSU,C,1,F1,0.625,2,0.179747352,0.213,2,0.107009664,1.5053E-05,0.083745343,,
Cyhalothrin,6 PSU,C,1,F1,,,,,,,,,,
Control,6 PSU,C,2,F1,0.627,2,0.180222205,0.234,2,0.10894668,1.65371E-05,0.091759517,,
Bifenthrin,6 PSU,C,2,F1,1.042,2,0.311574423,0.27,2,0.112349204,1.90813E-05,0.061241458,,
Cyfluthrin,6 PSU,C,2,F1,0.625,2,0.179747352,0.241,2,0.109600113,1.70318E-05,0.09475412,,
Cyhalothrin,6 PSU,C,2,F1,,,,,,,,,,
Control,6 PSU,C,3,F1,0.636,2,0.18237462,0.273,2,0.112637499,1.92933E-05,0.105789316,,
Bifenthrin,6 PSU,C,3,F1,1.07,2,0.323297987,0.31,2,0.116254561,2.19081E-05,0.067764502,,
Cyfluthrin,6 PSU,C,3,F1,0.635,2,0.182134199,0.225,2,0.108112273,1.59011E-05,0.087304088,,
Cyhalothrin,6 PSU,C,3,F1,,,,,,,,,,
Control,10 PSU,A,1,F1,0.237,1,0.109679409,0.178,1,0.10371429,1.25795E-05,0.114693409,,
Bifenthrin,10 PSU,A,1,F1,0.353,1,0.126774498,0.2,1,0.105642823,1.41343E-05,0.111491474,,
Cyfluthrin,10 PSU,A,1,F1,0.289,1,0.117037409,0.235,1,0.108785121,1.66078E-05,0.141901414,,
Cyhalothrin,10 PSU,A,1,F1,0.929,1,0.260253573,0.275,1,0.112490928,1.94346E-05,0.074675743,,
Control,10 PSU,A,2,F1,0.224,1,0.107913356,0.17,1,0.103021768,1.20141E-05,0.1113313,,
Bifenthrin,10 PSU,A,2,F1,0.376,1,0.130468239,0.174,1,0.103367449,1.22968E-05,0.094251443,,
Cyfluthrin,10 PSU,A,2,F1,0.309,1,0.119997086,0.201,1,0.105731331,1.42049E-05,0.118377433,,
Cyhalothrin,10 PSU,A,2,F1,0.91,1,0.254151689,0.289,1,0.113817568,2.0424E-05,0.080361568,,
Control,10 PSU,A,3,F1,0.225,1,0.108048191,0.18,1,0.103888147,1.27208E-05,0.117733096,,
Bifenthrin,10 PSU,A,3,F1,0.371,1,0.129656203,0.199,1,0.10555439,1.40636E-05,0.108468426,,
Cyfluthrin,10 PSU,A,3,F1,0.346,1,0.125671211,0.215,1,0.106978253,1.51943E-05,0.120905545,,
Cyhalothrin,10 PSU,A,3,F1,0.9,1,0.250997849,0.285,1,0.113436939,2.01413E-05,0.080245081,,
Control,10 PSU,B,1,F1,0.387,2,0.131314384,0.188,2,0.104748545,1.32862E-05,0.101178703,,
Bifenthrin,10 PSU,B,1,F1,0.422,2,0.137519347,0.215,2,0.107192648,1.51943E-05,0.110488791,,
Cyfluthrin,10 PSU,B,1,F1,,,,,,,,,,
Cyhalothrin,10 PSU,B,1,F1,0.278,2,0.113727685,0.176,2,0.103680241,1.24382E-05,0.109367939,,
Control,10 PSU,B,2,F1,0.434,2,0.139713573,0.182,2,0.104213024,1.28622E-05,0.09206114,,
Bifenthrin,10 PSU,B,2,F1,0.419,2,0.136976196,0.219,2,0.107559556,1.5477E-05,0.112990668,,
Cyfluthrin,10 PSU,B,2,F1,,,,,,,,,,
Cyhalothrin,10 PSU,B,2,F1,0.28,2,0.114028129,0.177,2,0.103768849,1.25088E-05,0.109699545,,
Control,10 PSU,B,3,F1,0.375,2,0.129252068,0.206,2,0.106371675,1.45583E-05,0.112634979,,
Bifenthrin,10 PSU,B,3,F1,0.419,2,0.136976196,0.236,2,0.109132976,1.66784E-05,0.121761633,,
Cyfluthrin,10 PSU,B,3,F1,,,,,,,,,,
Cyhalothrin,10 PSU,B,3,F1,0.28,2,0.114028129,0.204,2,0.106190093,1.4417E-05,0.126433374,,
Control,10 PSU,C,1,F1,0.478,2,0.148062882,0.216,2,0.107284258,1.5265E-05,0.103098207,,
Bifenthrin,10 PSU,C,1,F1,0.63,2,0.180936839,0.241,2,0.109600113,1.70318E-05,0.094131202,,
Cyfluthrin,10 PSU,C,1,F1,0.471,2,0.146701955,0.226,2,0.108204669,1.59717E-05,0.108871974,,
Cyhalothrin,10 PSU,C,1,F1,0.718,2,0.203208654,0.252,2,0.110634862,1.78092E-05,0.087639906,,
Control,10 PSU,C,2,F1,0.455,2,0.14363805,0.2,2,0.105827857,1.41343E-05,0.09840203,,
Bifenthrin,10 PSU,C,2,F1,0.648,2,0.185284547,0.223,2,0.107927719,1.57597E-05,0.085056836,,
Cyfluthrin,10 PSU,C,2,F1,0.48,2,0.148454033,0.216,2,0.107284258,1.5265E-05,0.102826561,,
Cyhalothrin,10 PSU,C,2,F1,0.699,2,0.198178757,0.225,2,0.108112273,1.59011E-05,0.080235946,,
Control,10 PSU,C,3,F1,0.406,2,0.134647223,0.211,2,0.106826992,1.49117E-05,0.110746144,,
Bifenthrin,10 PSU,C,3,F1,0.627,2,0.180222205,0.26,2,0.111393539,1.83746E-05,0.101955019,,
Cyfluthrin,10 PSU,C,3,F1,0.482,2,0.148846217,0.201,2,0.1059183,1.42049E-05,0.095433712,,
Cyhalothrin,10 PSU,C,3,F1,0.248,2,0.109314859,0.248,2,0.110257464,1.75265E-05,0.160330461,,
